Provinsi,Jenjang_Pendidikan,Tahun_Dari,Tahun_Ke,Nilai_Awal,Nilai_Akhir,Perubahan_Absolut,Perubahan_Persen,Status_Trend
KALIMANTAN TENGAH,SD,2019,2020,94.66,95.45,0.79,0.83,Naik
KALIMANTAN TENGAH,SD,2020,2021,95.45,97.45,2.0,2.1,Naik
KALIMANTAN TENGAH,SD,2021,2022,97.45,98.51,1.06,1.09,Naik
KALIMANTAN TENGAH,SD,2022,2023,98.51,97.47,-1.04,-1.06,Turun
KALIMANTAN TENGAH,SMP,2015,2016,72.59,80.64,8.05,11.09,Naik
KALIMANTAN TENGAH,SMP,2016,2017,80.64,76.84,-3.8,-4.71,Turun
KALIMANTAN TENGAH,SMP,2017,2018,76.84,79.87,3.03,3.94,Naik
KALIMANTAN TENGAH,SMP,2018,2019,79.87,81.01,1.14,1.43,Naik
KALIMANTAN TENGAH,SMP,2019,2020,81.01,84.83,3.82,4.72,Naik
KALIMANTAN TENGAH,SMP,2020,2021,84.83,89.76,4.93,5.81,Naik
KALIMANTAN TENGAH,SMP,2021,2022,89.76,87.79,-1.97,-2.19,Turun
KALIMANTAN TENGAH,SMP,2022,2023,87.79,88.92,1.13,1.29,Naik
KALIMANTAN TENGAH,SMA,2015,2016,47.28,52.42,5.14,10.87,Naik
KALIMANTAN TENGAH,SMA,2016,2017,52.42,56.48,4.06,7.75,Naik
KALIMANTAN TENGAH,SMA,2017,2018,56.48,53.47,-3.01,-5.33,Turun
KALIMANTAN TENGAH,SMA,2018,2019,53.47,50.01,-3.46,-6.47,Turun
KALIMANTAN TENGAH,SMA,2019,2020,50.01,60.77,10.76,21.52,Naik
KALIMANTAN TENGAH,SMA,2020,2021,60.77,61.04,0.27,0.44,Stabil
KALIMANTAN TENGAH,SMA,2021,2022,61.04,61.88,0.84,1.38,Naik
KALIMANTAN TENGAH,SMA,2022,2023,61.88,63.93,2.05,3.31,Naik
KALIMANTAN TIMUR,SD,2015,2016,94.65,98.16,3.51,3.71,Naik
KALIMANTAN TIMUR,SD,2016,2017,98.16,96.42,-1.74,-1.77,Turun
KALIMANTAN TIMUR,SD,2017,2018,96.42,95.32,-1.1,-1.14,Turun
KALIMANTAN TIMUR,SD,2018,2019,95.32,96.07,0.75,0.79,Naik
KALIMANTAN TIMUR,SD,2019,2020,96.07,95.84,-0.23,-0.24,Stabil
KALIMANTAN TIMUR,SD,2020,2021,95.84,96.82,0.98,1.02,Naik
KALIMANTAN TIMUR,SD,2021,2022,96.82,99.18,2.36,2.44,Naik
KALIMANTAN TIMUR,SD,2022,2023,99.18,97.88,-1.3,-1.31,Turun
KALIMANTAN TIMUR,SMP,2015,2016,85.13,86.7,1.57,1.84,Naik
KALIMANTAN TIMUR,SMP,2016,2017,86.7,88.31,1.61,1.86,Naik
KALIMANTAN TIMUR,SMP,2017,2018,88.31,89.14,0.83,0.94,Naik
KALIMANTAN TIMUR,SMP,2018,2019,89.14,86.98,-2.16,-2.42,Turun
KALIMANTAN TIMUR,SMP,2019,2020,86.98,92.4,5.42,6.23,Naik
KALIMANTAN TIMUR,SMP,2020,2021,92.4,95.34,2.94,3.18,Naik
KALIMANTAN TIMUR,SMP,2021,2022,95.34,95.32,-0.02,-0.02,Stabil
KALIMANTAN TIMUR,SMP,2022,2023,95.32,94.85,-0.47,-0.49,Stabil
KALIMANTAN TIMUR,SMA,2015,2016,67.56,66.76,-0.8,-1.18,Turun
KALIMANTAN TIMUR,SMA,2016,2017,66.76,67.72,0.96,1.44,Naik
KALIMANTAN TIMUR,SMA,2017,2018,67.72,68.73,1.01,1.49,Naik
KALIMANTAN TIMUR,SMA,2018,2019,68.73,64.74,-3.99,-5.81,Turun
KALIMANTAN TIMUR,SMA,2019,2020,64.74,71.63,6.89,10.64,Naik
KALIMANTAN TIMUR,SMA,2020,2021,71.63,74.26,2.63,3.67,Naik
KALIMANTAN TIMUR,SMA,2021,2022,74.26,74.0,-0.26,-0.35,Stabil
KALIMANTAN TIMUR,SMA,2022,2023,74.0,73.63,-0.37,-0.5,Stabil
KALIMANTAN UTARA,SD,2015,2016,92.11,92.72,0.61,0.66,Naik
KALIMANTAN UTARA,SD,2016,2017,92.72,92.04,-0.68,-0.73,Turun
KALIMANTAN UTARA,SD,2017,2018,92.04,92.03,-0.01,-0.01,Stabil
KALIMANTAN UTARA,SD,2018,2019,92.03,93.23,1.2,1.3,Naik
KALIMANTAN UTARA,SD,2019,2020,93.23,96.38,3.15,3.38,Naik
KALIMANTAN UTARA,SD,2020,2021,96.38,95.77,-0.61,-0.63,Turun
KALIMANTAN UTARA,SD,2021,2022,95.77,96.94,1.17,1.22,Naik
KALIMANTAN UTARA,SD,2022,2023,96.94,96.41,-0.53,-0.55,Turun
KALIMANTAN UTARA,SMP,2015,2016,83.02,81.96,-1.06,-1.28,Turun
KALIMANTAN UTARA,SMP,2016,2017,81.96,82.36,0.4,0.49,Stabil
KALIMANTAN UTARA,SMP,2017,2018,82.36,82.85,0.49,0.59,Stabil
KALIMANTAN UTARA,SMP,2018,2019,82.85,83.85,1.0,1.21,Naik
KALIMANTAN UTARA,SMP,2019,2020,83.85,87.14,3.29,3.92,Naik
KALIMANTAN UTARA,SMP,2020,2021,87.14,90.14,3.0,3.44,Naik
KALIMANTAN UTARA,SMP,2021,2022,90.14,90.55,0.41,0.45,Stabil
KALIMANTAN UTARA,SMP,2022,2023,90.55,88.08,-2.47,-2.73,Turun
KALIMANTAN UTARA,SMA,2015,2016,47.64,58.6,10.96,23.01,Naik
KALIMANTAN UTARA,SMA,2016,2017,58.6,57.43,-1.17,-2.0,Turun
KALIMANTAN UTARA,SMA,2017,2018,57.43,58.22,0.79,1.38,Naik
KALIMANTAN UTARA,SMA,2018,2019,58.22,61.1,2.88,4.95,Naik
KALIMANTAN UTARA,SMA,2019,2020,61.1,67.77,6.67,10.92,Naik
KALIMANTAN UTARA,SMA,2020,2021,67.77,62.3,-5.47,-8.07,Turun
KALIMANTAN UTARA,SMA,2021,2022,62.3,54.8,-7.5,-12.04,Turun
KALIMANTAN UTARA,SMA,2022,2023,54.8,59.5,4.7,8.58,Naik
KEP. BANGKA BELITUNG,SD,2015,2016,90.05,89.38,-0.67,-0.74,Turun
KEP. BANGKA BELITUNG,SD,2016,2017,89.38,92.36,2.98,3.33,Naik
KEP. BANGKA BELITUNG,SD,2017,2018,92.36,92.04,-0.32,-0.35,Stabil
KEP. BANGKA BELITUNG,SD,2018,2019,92.04,92.8,0.76,0.83,Naik
KEP. BANGKA BELITUNG,SD,2019,2020,92.8,96.05,3.25,3.5,Naik
KEP. BANGKA BELITUNG,SD,2020,2021,96.05,96.61,0.56,0.58,Naik
KEP. BANGKA BELITUNG,SD,2021,2022,96.61,96.45,-0.16,-0.17,Stabil
KEP. BANGKA BELITUNG,SD,2022,2023,96.45,96.01,-0.44,-0.46,Stabil
KEP. BANGKA BELITUNG,SMP,2015,2016,70.35,75.77,5.42,7.7,Naik
KEP. BANGKA BELITUNG,SMP,2016,2017,75.77,75.3,-0.47,-0.62,Stabil
KEP. BANGKA BELITUNG,SMP,2017,2018,75.3,79.7,4.4,5.84,Naik
KEP. BANGKA BELITUNG,SMP,2018,2019,79.7,77.96,-1.74,-2.18,Turun
KEP. BANGKA BELITUNG,SMP,2019,2020,77.96,81.91,3.95,5.07,Naik
KEP. BANGKA BELITUNG,SMP,2020,2021,81.91,80.99,-0.92,-1.12,Turun
KEP. BANGKA BELITUNG,SMP,2021,2022,80.99,84.72,3.73,4.61,Naik
KEP. BANGKA BELITUNG,SMP,2022,2023,84.72,87.11,2.39,2.82,Naik
KEP. BANGKA BELITUNG,SMA,2015,2016,43.46,53.84,10.38,23.88,Naik
KEP. BANGKA BELITUNG,SMA,2016,2017,53.84,51.55,-2.29,-4.25,Turun
KEP. BANGKA BELITUNG,SMA,2017,2018,51.55,55.01,3.46,6.71,Naik
KEP. BANGKA BELITUNG,SMA,2018,2019,55.01,53.84,-1.17,-2.13,Turun
KEP. BANGKA BELITUNG,SMA,2019,2020,53.84,56.74,2.9,5.39,Naik
KEP. BANGKA BELITUNG,SMA,2020,2021,56.74,63.98,7.24,12.76,Naik
KEP. BANGKA BELITUNG,SMA,2021,2022,63.98,66.87,2.89,4.52,Naik
KEP. BANGKA BELITUNG,SMA,2022,2023,66.87,68.96,2.09,3.13,Naik
KEP. RIAU,SD,2015,2016,97.85,94.9,-2.95,-3.01,Turun
KEP. RIAU,SD,2016,2017,94.9,96.28,1.38,1.45,Naik
KEP. RIAU,SD,2017,2018,96.28,98.13,1.85,1.92,Naik
KEP. RIAU,SD,2018,2019,98.13,95.69,-2.44,-2.49,Turun
KEP. RIAU,SD,2019,2020,95.69,95.25,-0.44,-0.46,Stabil
KEP. RIAU,SD,2020,2021,95.25,98.16,2.91,3.06,Naik
KEP. RIAU,SD,2021,2022,98.16,98.38,0.22,0.22,Stabil
KEP. RIAU,SD,2022,2023,98.38,97.92,-0.46,-0.47,Stabil
KEP. RIAU,SMP,2015,2016,88.25,86.92,-1.33,-1.51,Turun
KEP. RIAU,SMP,2016,2017,86.92,92.11,5.19,5.97,Naik
KEP. RIAU,SMP,2017,2018,92.11,90.15,-1.96,-2.13,Turun
KEP. RIAU,SMP,2018,2019,90.15,91.56,1.41,1.56,Naik
KEP. RIAU,SMP,2019,2020,91.56,94.8,3.24,3.54,Naik
KEP. RIAU,SMP,2020,2021,94.8,92.71,-2.09,-2.2,Turun
KEP. RIAU,SMP,2021,2022,92.71,95.72,3.01,3.25,Naik
KEP. RIAU,SMP,2022,2023,95.72,95.51,-0.21,-0.22,Stabil
KEP. RIAU,SMA,2015,2016,65.28,75.93,10.65,16.31,Naik
KEP. RIAU,SMA,2016,2017,75.93,83.55,7.62,10.04,Naik
KEP. RIAU,SMA,2017,2018,83.55,82.86,-0.69,-0.83,Turun
KEP. RIAU,SMA,2018,2019,82.86,78.14,-4.72,-5.7,Turun
KEP. RIAU,SMA,2019,2020,78.14,78.65,0.51,0.65,Naik
KEP. RIAU,SMA,2020,2021,78.65,81.07,2.42,3.08,Naik
KEP. RIAU,SMA,2021,2022,81.07,73.93,-7.14,-8.81,Turun
KEP. RIAU,SMA,2022,2023,73.93,78.97,5.04,6.82,Naik
LAMPUNG,SD,2015,2016,94.46,96.26,1.8,1.91,Naik
LAMPUNG,SD,2016,2017,96.26,96.67,0.41,0.43,Stabil
LAMPUNG,SD,2017,2018,96.67,95.39,-1.28,-1.32,Turun
LAMPUNG,SD,2018,2019,95.39,96.05,0.66,0.69,Naik
LAMPUNG,SD,2019,2020,96.05,97.69,1.64,1.71,Naik
LAMPUNG,SD,2020,2021,97.69,98.33,0.64,0.66,Naik
LAMPUNG,SD,2021,2022,98.33,98.41,0.08,0.08,Stabil
LAMPUNG,SD,2022,2023,98.41,98.67,0.26,0.26,Stabil
LAMPUNG,SMP,2015,2016,76.68,79.68,3.0,3.91,Naik
LAMPUNG,SMP,2016,2017,79.68,85.02,5.34,6.7,Naik
LAMPUNG,SMP,2017,2018,85.02,85.09,0.07,0.08,Stabil
LAMPUNG,SMP,2018,2019,85.09,84.08,-1.01,-1.19,Turun
LAMPUNG,SMP,2019,2020,84.08,86.66,2.58,3.07,Naik
LAMPUNG,SMP,2020,2021,86.66,89.46,2.8,3.23,Naik
LAMPUNG,SMP,2021,2022,89.46,90.99,1.53,1.71,Naik
LAMPUNG,SMP,2022,2023,90.99,87.67,-3.32,-3.65,Turun
LAMPUNG,SMA,2015,2016,40.6,47.62,7.02,17.29,Naik
LAMPUNG,SMA,2016,2017,47.62,48.75,1.13,2.37,Naik
LAMPUNG,SMA,2017,2018,48.75,54.89,6.14,12.59,Naik
LAMPUNG,SMA,2018,2019,54.89,54.87,-0.02,-0.04,Stabil
LAMPUNG,SMA,2019,2020,54.87,57.59,2.72,4.96,Naik
LAMPUNG,SMA,2020,2021,57.59,60.09,2.5,4.34,Naik
LAMPUNG,SMA,2021,2022,60.09,62.42,2.33,3.88,Naik
LAMPUNG,SMA,2022,2023,62.42,64.54,2.12,3.4,Naik
MALUKU,SD,2015,2016,91.56,93.6,2.04,2.23,Naik
MALUKU,SD,2016,2017,93.6,93.98,0.38,0.41,Stabil
MALUKU,SD,2017,2018,93.98,94.49,0.51,0.54,Naik
MALUKU,SD,2018,2019,94.49,94.95,0.46,0.49,Stabil
MALUKU,SD,2019,2020,94.95,97.47,2.52,2.65,Naik
MALUKU,SD,2020,2021,97.47,98.5,1.03,1.06,Naik
MALUKU,SD,2021,2022,98.5,98.98,0.48,0.49,Stabil
MALUKU,SD,2022,2023,98.98,98.69,-0.29,-0.29,Stabil
MALUKU,SMP,2015,2016,86.29,88.43,2.14,2.48,Naik
MALUKU,SMP,2016,2017,88.43,84.35,-4.08,-4.61,Turun
MALUKU,SMP,2017,2018,84.35,86.38,2.03,2.41,Naik
MALUKU,SMP,2018,2019,86.38,88.43,2.05,2.37,Naik
MALUKU,SMP,2019,2020,88.43,88.04,-0.39,-0.44,Stabil
MALUKU,SMP,2020,2021,88.04,93.08,5.04,5.72,Naik
MALUKU,SMP,2021,2022,93.08,93.65,0.57,0.61,Naik
MALUKU,SMP,2022,2023,93.65,93.9,0.25,0.27,Stabil
MALUKU,SMA,2015,2016,58.59,72.87,14.28,24.37,Naik
MALUKU,SMA,2016,2017,72.87,73.58,0.71,0.97,Naik
MALUKU,SMA,2017,2018,73.58,66.42,-7.16,-9.73,Turun
MALUKU,SMA,2018,2019,66.42,67.82,1.4,2.11,Naik
MALUKU,SMA,2019,2020,67.82,70.55,2.73,4.03,Naik
MALUKU,SMA,2020,2021,70.55,68.12,-2.43,-3.44,Turun
MALUKU,SMA,2021,2022,68.12,72.08,3.96,5.81,Naik
MALUKU,SMA,2022,2023,72.08,75.01,2.93,4.06,Naik
MALUKU UTARA,SD,2015,2016,92.25,91.83,-0.42,-0.46,Stabil
MALUKU UTARA,SD,2016,2017,91.83,95.37,3.54,3.85,Naik
MALUKU UTARA,SD,2017,2018,95.37,95.65,0.28,0.29,Stabil
MALUKU UTARA,SD,2018,2019,95.65,94.66,-0.99,-1.04,Turun
MALUKU UTARA,SD,2019,2020,94.66,95.59,0.93,0.98,Naik
MALUKU UTARA,SD,2020,2021,95.59,96.97,1.38,1.44,Naik
MALUKU UTARA,SD,2021,2022,96.97,97.72,0.75,0.77,Naik
MALUKU UTARA,SD,2022,2023,97.72,98.3,0.58,0.59,Naik
MALUKU UTARA,SMP,2015,2016,76.39,83.23,6.84,8.95,Naik
MALUKU UTARA,SMP,2016,2017,83.23,83.76,0.53,0.64,Naik
MALUKU UTARA,SMP,2017,2018,83.76,85.39,1.63,1.95,Naik
MALUKU UTARA,SMP,2018,2019,85.39,85.07,-0.32,-0.37,Stabil
MALUKU UTARA,SMP,2019,2020,85.07,87.41,2.34,2.75,Naik
MALUKU UTARA,SMP,2020,2021,87.41,92.93,5.52,6.32,Naik
MALUKU UTARA,SMP,2021,2022,92.93,94.92,1.99,2.14,Naik
MALUKU UTARA,SMP,2022,2023,94.92,93.46,-1.46,-1.54,Turun
MALUKU UTARA,SMA,2015,2016,57.12,64.87,7.75,13.57,Naik
MALUKU UTARA,SMA,2016,2017,64.87,65.14,0.27,0.42,Stabil
MALUKU UTARA,SMA,2017,2018,65.14,60.07,-5.07,-7.78,Turun
MALUKU UTARA,SMA,2018,2019,60.07,59.13,-0.94,-1.56,Turun
MALUKU UTARA,SMA,2019,2020,59.13,66.52,7.39,12.5,Naik
MALUKU UTARA,SMA,2020,2021,66.52,66.95,0.43,0.65,Stabil
MALUKU UTARA,SMA,2021,2022,66.95,67.1,0.15,0.22,Stabil
MALUKU UTARA,SMA,2022,2023,67.1,64.61,-2.49,-3.71,Turun
NUSA TENGGARA BARAT,SD,2015,2016,94.4,96.03,1.63,1.73,Naik
NUSA TENGGARA BARAT,SD,2016,2017,96.03,96.79,0.76,0.79,Naik
NUSA TENGGARA BARAT,SD,2017,2018,96.79,97.59,0.8,0.83,Naik
NUSA TENGGARA BARAT,SD,2018,2019,97.59,96.62,-0.97,-0.99,Turun
NUSA TENGGARA BARAT,SD,2019,2020,96.62,97.29,0.67,0.69,Naik
NUSA TENGGARA BARAT,SD,2020,2021,97.29,98.71,1.42,1.46,Naik
NUSA TENGGARA BARAT,SD,2021,2022,98.71,98.47,-0.24,-0.24,Stabil
NUSA TENGGARA BARAT,SD,2022,2023,98.47,98.11,-0.36,-0.37,Stabil
NUSA TENGGARA BARAT,SMP,2015,2016,84.04,86.91,2.87,3.42,Naik
NUSA TENGGARA BARAT,SMP,2016,2017,86.91,87.14,0.23,0.26,Stabil
NUSA TENGGARA BARAT,SMP,2017,2018,87.14,87.88,0.74,0.85,Naik
NUSA TENGGARA BARAT,SMP,2018,2019,87.88,88.64,0.76,0.86,Naik
NUSA TENGGARA BARAT,SMP,2019,2020,88.64,89.91,1.27,1.43,Naik
NUSA TENGGARA BARAT,SMP,2020,2021,89.91,92.19,2.28,2.54,Naik
NUSA TENGGARA BARAT,SMP,2021,2022,92.19,95.39,3.2,3.47,Naik
NUSA TENGGARA BARAT,SMP,2022,2023,95.39,92.95,-2.44,-2.56,Turun
NUSA TENGGARA BARAT,SMA,2015,2016,51.83,55.01,3.18,6.14,Naik
NUSA TENGGARA BARAT,SMA,2016,2017,55.01,59.1,4.09,7.44,Naik
NUSA TENGGARA BARAT,SMA,2017,2018,59.1,52.6,-6.5,-11.0,Turun
NUSA TENGGARA BARAT,SMA,2018,2019,52.6,57.6,5.0,9.51,Naik
NUSA TENGGARA BARAT,SMA,2019,2020,57.6,64.66,7.06,12.26,Naik
NUSA TENGGARA BARAT,SMA,2020,2021,64.66,65.71,1.05,1.62,Naik
NUSA TENGGARA BARAT,SMA,2021,2022,65.71,61.0,-4.71,-7.17,Turun
NUSA TENGGARA BARAT,SMA,2022,2023,61.0,63.66,2.66,4.36,Naik
NUSA TENGGARA TIMUR,SD,2015,2016,78.94,84.71,5.77,7.31,Naik
NUSA TENGGARA TIMUR,SD,2016,2017,84.71,85.07,0.36,0.42,Stabil
NUSA TENGGARA TIMUR,SD,2017,2018,85.07,83.87,-1.2,-1.41,Turun
NUSA TENGGARA TIMUR,SD,2018,2019,83.87,87.39,3.52,4.2,Naik
NUSA TENGGARA TIMUR,SD,2019,2020,87.39,86.92,-0.47,-0.54,Stabil
NUSA TENGGARA TIMUR,SD,2020,2021,86.92,91.84,4.92,5.66,Naik
NUSA TENGGARA TIMUR,SD,2021,2022,91.84,92.35,0.51,0.56,Naik
NUSA TENGGARA TIMUR,SD,2022,2023,92.35,93.41,1.06,1.15,Naik
NUSA TENGGARA TIMUR,SMP,2015,2016,66.62,70.73,4.11,6.17,Naik
NUSA TENGGARA TIMUR,SMP,2016,2017,70.73,70.54,-0.19,-0.27,Stabil
NUSA TENGGARA TIMUR,SMP,2017,2018,70.54,71.42,0.88,1.25,Naik
NUSA TENGGARA TIMUR,SMP,2018,2019,71.42,74.31,2.89,4.05,Naik
NUSA TENGGARA TIMUR,SMP,2019,2020,74.31,78.81,4.5,6.06,Naik
NUSA TENGGARA TIMUR,SMP,2020,2021,78.81,78.83,0.02,0.03,Stabil
NUSA TENGGARA TIMUR,SMP,2021,2022,78.83,83.25,4.42,5.61,Naik
NUSA TENGGARA TIMUR,SMP,2022,2023,83.25,82.48,-0.77,-0.92,Turun
NUSA TENGGARA TIMUR,SMA,2015,2016,37.78,48.95,11.17,29.57,Naik
NUSA TENGGARA TIMUR,SMA,2016,2017,48.95,41.44,-7.51,-15.34,Turun
NUSA TENGGARA TIMUR,SMA,2017,2018,41.44,43.41,1.97,4.75,Naik
NUSA TENGGARA TIMUR,SMA,2018,2019,43.41,43.85,0.44,1.01,Stabil
NUSA TENGGARA TIMUR,SMA,2019,2020,43.85,50.65,6.8,15.51,Naik
NUSA TENGGARA TIMUR,SMA,2020,2021,50.65,44.88,-5.77,-11.39,Turun
NUSA TENGGARA TIMUR,SMA,2021,2022,44.88,38.47,-6.41,-14.28,Turun
NUSA TENGGARA TIMUR,SMA,2022,2023,38.47,43.46,4.99,12.97,Naik
PAPUA,SD,2015,2016,62.34,65.66,3.32,5.33,Naik
PAPUA,SD,2016,2017,65.66,74.18,8.52,12.98,Naik
PAPUA,SD,2017,2018,74.18,71.83,-2.35,-3.17,Turun
PAPUA,SD,2018,2019,71.83,73.07,1.24,1.73,Naik
PAPUA,SD,2019,2020,73.07,78.4,5.33,7.29,Naik
PAPUA,SD,2020,2021,78.4,78.43,0.03,0.04,Stabil
PAPUA,SD,2021,2022,78.43,81.99,3.56,4.54,Naik
PAPUA,SD,2022,2023,81.99,80.09,-1.9,-2.32,Turun
PAPUA,SMP,2015,2016,50.57,54.82,4.25,8.4,Naik
PAPUA,SMP,2016,2017,54.82,57.86,3.04,5.55,Naik
PAPUA,SMP,2017,2018,57.86,57.19,-0.67,-1.16,Turun
PAPUA,SMP,2018,2019,57.19,59.31,2.12,3.71,Naik
PAPUA,SMP,2019,2020,59.31,65.75,6.44,10.86,Naik
PAPUA,SMP,2020,2021,65.75,66.06,0.31,0.47,Stabil
PAPUA,SMP,2021,2022,66.06,66.16,0.1,0.15,Stabil
PAPUA,SMP,2022,2023,66.16,67.12,0.96,1.45,Naik
PAPUA,SMA,2015,2016,28.23,35.69,7.46,26.43,Naik
PAPUA,SMA,2016,2017,35.69,33.82,-1.87,-5.24,Turun
PAPUA,SMA,2017,2018,33.82,29.56,-4.26,-12.6,Turun
PAPUA,SMA,2018,2019,29.56,27.44,-2.12,-7.17,Turun
PAPUA,SMA,2019,2020,27.44,30.92,3.48,12.68,Naik
PAPUA,SMA,2020,2021,30.92,32.95,2.03,6.57,Naik
PAPUA,SMA,2021,2022,32.95,39.01,6.06,18.39,Naik
PAPUA,SMA,2022,2023,39.01,39.5,0.49,1.26,Stabil
PAPUA BARAT,SD,2015,2016,82.45,84.77,2.32,2.81,Naik
PAPUA BARAT,SD,2016,2017,84.77,85.96,1.19,1.4,Naik
PAPUA BARAT,SD,2017,2018,85.96,86.46,0.5,0.58,Stabil
PAPUA BARAT,SD,2018,2019,86.46,88.46,2.0,2.31,Naik
PAPUA BARAT,SD,2019,2020,88.46,89.25,0.79,0.89,Naik
PAPUA BARAT,SD,2020,2021,89.25,91.81,2.56,2.87,Naik
PAPUA BARAT,SD,2021,2022,91.81,93.94,2.13,2.32,Naik
PAPUA BARAT,SD,2022,2023,93.94,92.69,-1.25,-1.33,Turun
PAPUA BARAT,SMP,2015,2016,76.33,76.28,-0.05,-0.07,Stabil
PAPUA BARAT,SMP,2016,2017,76.28,78.31,2.03,2.66,Naik
PAPUA BARAT,SMP,2017,2018,78.31,81.19,2.88,3.68,Naik
PAPUA BARAT,SMP,2018,2019,81.19,80.91,-0.28,-0.34,Stabil
PAPUA BARAT,SMP,2019,2020,80.91,83.47,2.56,3.16,Naik
PAPUA BARAT,SMP,2020,2021,83.47,85.18,1.71,2.05,Naik
PAPUA BARAT,SMP,2021,2022,85.18,87.03,1.85,2.17,Naik
PAPUA BARAT,SMP,2022,2023,87.03,88.63,1.6,1.84,Naik
PAPUA BARAT,SMA,2015,2016,55.24,56.12,0.88,1.59,Naik
PAPUA BARAT,SMA,2016,2017,56.12,62.81,6.69,11.92,Naik
PAPUA BARAT,SMA,2017,2018,62.81,60.47,-2.34,-3.73,Turun
PAPUA BARAT,SMA,2018,2019,60.47,50.95,-9.52,-15.74,Turun
PAPUA BARAT,SMA,2019,2020,50.95,61.49,10.54,20.69,Naik
PAPUA BARAT,SMA,2020,2021,61.49,59.08,-2.41,-3.92,Turun
PAPUA BARAT,SMA,2021,2022,59.08,57.07,-2.01,-3.4,Turun
PAPUA BARAT,SMA,2022,2023,57.07,59.99,2.92,5.12,Naik
PAPUA BARAT DAYA,SD,2015,2016,95.62,95.62,0.0,0.0,Stabil
PAPUA BARAT DAYA,SD,2016,2017,95.62,95.62,0.0,0.0,Stabil
PAPUA BARAT DAYA,SD,2017,2018,95.62,95.62,0.0,0.0,Stabil
PAPUA BARAT DAYA,SD,2018,2019,95.62,95.62,0.0,0.0,Stabil
PAPUA BARAT DAYA,SD,2019,2020,95.62,95.62,0.0,0.0,Stabil
PAPUA BARAT DAYA,SD,2020,2021,95.62,95.62,0.0,0.0,Stabil
PAPUA BARAT DAYA,SD,2021,2022,95.62,95.62,0.0,0.0,Stabil
PAPUA BARAT DAYA,SD,2022,2023,95.62,95.62,0.0,0.0,Stabil
PAPUA BARAT DAYA,SMP,2015,2016,86.2,86.2,0.0,0.0,Stabil
PAPUA BARAT DAYA,SMP,2016,2017,86.2,86.2,0.0,0.0,Stabil
PAPUA BARAT DAYA,SMP,2017,2018,86.2,86.2,0.0,0.0,Stabil
PAPUA BARAT DAYA,SMP,2018,2019,86.2,86.2,0.0,0.0,Stabil
PAPUA BARAT DAYA,SMP,2019,2020,86.2,86.2,0.0,0.0,Stabil
PAPUA BARAT DAYA,SMP,2020,2021,86.2,86.2,0.0,0.0,Stabil
